Short,Full
ROS, Robot Operating System
OS, Operating System
GUI, Graphics User Interface
UI, User Interface
URDF, Unified Robot Description Format
TCP, Tool Center Point
HRCS, Human-robot collaborative systems
AMADA, Japanese manufacturer of metal processing equipment and machinery
KR, Kassow Robots
IDE, Integrated Development Environment
CBun, Capability Bundle represents a modular framework within KR system encapsulating functionalities and providing the access to its predefined API
API, Application Programming Interface
JS, Javascript
CSS, Cascade Style Sheets
HTML5, Hypertext Markup Language 5
PLC, Programmable Logic Controller
SensoPart, Industrial Sensors manufacturer
RPA, Robotic Process Automation
IT, Information Technology
VISOR\textsuperscript{\textregistered}, high-performance smart camera in a compact and light sensor housing from SensoPart
PC, Personal Computer
DT, Digital twin
IoT, Internet of Things
